step,time,particles,injected_total,outflow_total,mass_error,pairs,neighbor_mean,wall_contacts,film_particles,film_mean,film_max,max_speed
154,0.231,1500,1500,0,0,12396,16.528,401,570,0.060561427074619,0.07130835236349194,3.6021452484512393
155,0.2325,1500,1500,0,0,12732,16.976,418,582,0.06039209045680779,0.07177740403137585,3.615545803450764
156,0.234,1500,1500,0,0,13088,17.450666666666667,423,594,0.06041962492587344,0.0717852303709831,3.6302553697933284
157,0.23550000000000001,1500,1500,0,0,13543,18.057333333333332,435,606,0.06012733094997265,0.07174614638168768,3.6449649799999673
158,0.23700000000000002,1500,1500,0,0,13963,18.617333333333335,442,621,0.059675668402166496,0.07176351744532726,3.6596746335417616
159,0.23850000000000002,1500,1500,0,0,14337,19.116,449,631,0.05902827916467989,0.07199918618819785,3.674384329898261
160,0.24,1500,1500,0,0,14748,19.664,455,646,0.06217804592315565,0.0719448920582057,3.6890940685573144
161,0.2415,1500,1500,0,0,15254,20.338666666666665,469,656,0.06096110738345545,0.07164359090676721,3.703803849014905
162,0.243,1500,1500,0,0,15728,20.970666666666666,474,665,0.05943186691464209,0.07150086773888702,3.71851367077499
163,0.2445,1500,1500,0,0,16132,21.509333333333334,480,676,0.06028358507648937,0.07044662540797568,3.7332235333493435
164,0.246,1500,1500,0,0,16646,22.194666666666667,489,685,0.05929839994150534,0.07156077750819241,3.747933436257403
165,0.2475,1500,1500,0,0,17162,22.882666666666665,501,697,0.059270635389379336,0.07100539880890185,3.7626433790261187
166,0.249,1500,1500,0,0,17604,23.472,507,709,0.05998796191472249,0.07161045281915661,3.567833301151034
167,0.2505,1500,1500,0,0,18119,24.158666666666665,515,718,0.0590464366197752,0.07178707687303458,3.582364388949685
168,0.252,1500,1500,0,0,18562,24.749333333333333,522,732,0.060112240810683344,0.07156221487136973,3.582285079973437
169,0.2535,1500,1500,0,0,19044,25.392,527,746,0.05976486579868473,0.07157661196240143,3.5770146225384742
170,0.255,1500,1500,0,0,19533,26.044,534,761,0.060541726304080674,0.07156620498562065,3.591510935805938
171,0.2565,1500,1500,0,0,20003,26.670666666666666,540,771,0.05889063836423612,0.0716557232716644,3.6059924317100647
172,0.258,1500,1500,0,0,20515,27.35333333333333,541,782,0.059607658617743677,0.07123345654786192,3.6204349524901773
173,0.2595,1500,1500,0,0,21023,28.030666666666665,545,793,0.05834355598927626,0.07153262927723218,3.622231807938807
174,0.261,1500,1500,0,0,21534,28.712,548,804,0.060126549609926014,0.07169472968113534,3.57725140050537
175,0.2625,1500,1500,0,0,22059,29.412,553,811,0.05737106298766503,0.07150163830324578,3.578230790911138
176,0.264,1500,1500,0,0,22698,30.264,556,828,0.06091874757127371,0.07190964829809483,3.5795358991251756
177,0.2655,1500,1500,0,0,23335,31.113333333333333,562,839,0.05948047605094338,0.07128668190197017,3.5800819086832583
178,0.267,1500,1500,0,0,23849,31.798666666666666,567,850,0.05705008493044645,0.07148451187308062,3.594482101862023
179,0.2685,1500,1500,0,0,24433,32.577333333333335,572,858,0.056454729500056464,0.07162879165192763,3.5828822946614247
